sentence,intensity_level,intensity_level_normalized,intensity_category,clean_sentence
প্রতিটা বাংগালীর এই ফারাক্কা বাঁধ ভারতের মুখে তুতু দেওয়া উচিৎ ।,1,0,Disagreement,প্রতিটা বাংগালীর এই ফারাক্কা বাঁধ ভারতের মুখে তুতু দেওয়া উচিৎ ।
দেখেন এমন চরম জব্বাব নিছে ভারতপাকিস্তান প্রাতিদিন শশান দিপাবলিতে পাঠাচ্ছে ভারতের সেনাকে।,1,0,Disagreement,দেখেন এমন চরম জব্বাব নিছে ভারতপাকিস্তান প্রাতিদিন শশান দিপাবলিতে পাঠাচ্ছে ভারতের সেনাকে।
ঝামেলা জামাল,1,0,Disagreement,ঝামেলা জামাল
ভাষার মাসে অন্তত বাংলা লিখতেন বই মেলাইকে নিয়ে পোস্টে দিসেন বই মেলার মর্ম টা জানেন সরি সরি কারে কি বুঝাচ্ছি আপনি তো সেই বই মেলারিই একজন গুণধর লেখক,1,0,Disagreement,ভাষার মাসে অন্তত বাংলা লিখতেন বই মেলাইকে নিয়ে পোস্টে দিসেন বই মেলার মর্ম টা জানেন সরি সরি কারে কি বুঝাচ্ছি আপনি তো সেই বই মেলারিই একজন গুণধর লেখক
ভাই না বুজে কিছু লিখলেই কবি বা সাহিত্যিক হওয়া যায় না বিদ্যুৎ প্রকল্প নিয়ে আজ প্রযন্ত কেউ কোন রোধিতা করেনি বিরোধিতা করেছে সুন্দরবনকে নিয়ে সুন্দরবন ছাড়া যে কোন যায়গায় এই বিদ্যুৎ কেন্দ্র করা যেতে পারে বিশেষ করে বিদ্যুৎ প্রকল্পের নামে ভারতকে সুবিদা দেওয়াই হচ্ছে মুল টার্গেট।,1,0,Disagreement,ভাই না বুজে কিছু লিখলেই কবি বা সাহিত্যিক হওয়া যায় না বিদ্যুৎ প্রকল্প নিয়ে আজ প্রযন্ত কেউ কোন রোধিতা করেনি বিরোধিতা করেছে সুন্দরবনকে নিয়ে সুন্দরবন ছাড়া যে কোন যায়গায় এই বিদ্যুৎ কেন্দ্র করা যেতে পারে বিশেষ করে বিদ্যুৎ প্রকল্পের নামে ভারতকে সুবিদা দেওয়াই হচ্ছে মুল টার্গেট।
গান নাকি হারাম,1,0,Disagreement,গান নাকি হারাম
কোপ দিয়া বছর শুরু করলা ব্রো ট্রিট দে একটা,1,0,Disagreement,কোপ দিয়া বছর শুরু করলা ব্রো ট্রিট দে একটা
হিন্দুরা যদি স্বেচ্ছায় ভারতে চলে যায় সে জন্য কি সরকার দায়ী হিন্দুরা বাংলাদেশই নিরাপদ ছিল ভবিষ্যতে ও থাকবে এরা মনে করে ভারতে গেলে মনে হয় ভারতে বাড়া ভাত রইছে 	Geopolitical,1,0,Disagreement,হিন্দুরা যদি স্বেচ্ছায় ভারতে চলে যায় সে জন্য কি সরকার দায়ী হিন্দুরা বাংলাদেশই নিরাপদ ছিল ভবিষ্যতে ও থাকবে এরা মনে করে ভারতে গেলে মনে হয় ভারতে বাড়া ভাত রইছে Geopolitical
বেটা এর চেয়ে ভালো হতে পারে না,1,0,Disagreement,বেটা এর চেয়ে ভালো হতে পারে না
"এখন আর শিক্ষকদের ভেল্যু নেই!  ছাত্ররাই যেখানে শিক্ষকের মারে!   একটা সময় শিক্ষকদের ভয় পেতো,যার জন্য জেনারেশন টাও যথেষ্ট ভালো ছিল!  গার্ডিয়ানদের অসচেতনতা এসবের জন্যই দায়ী! চুলের যে কাটিং দেয়! সামাজিক অবক্ষয় ছাড়া কিছু নয়!   মাদ্রাসার শিক্ষক কে গ্রেফতার করা হলো! আর ভার্সিটির শিক্ষিকা কে এখনো কিছুই করতে পারলোনা!   সেলুকাস!",1,0,Disagreement,"এখন আর শিক্ষকদের ভেল্যু নেই! ছাত্ররাই যেখানে শিক্ষকের মারে! একটা সময় শিক্ষকদের ভয় পেতো,যার জন্য জেনারেশন টাও যথেষ্ট ভালো ছিল! গার্ডিয়ানদের অসচেতনতা এসবের জন্যই দায়ী! চুলের যে কাটিং দেয়! সামাজিক অবক্ষয় ছাড়া কিছু নয়! মাদ্রাসার শিক্ষক কে গ্রেফতার করা হলো! আর ভার্সিটির শিক্ষিকা কে এখনো কিছুই করতে পারলোনা! সেলুকাস!"
আমরা যুদ্ধ চাই আমাদের দাবী একটাই কলকতা আমাদের জায়গা ভারত আমাদের শোসন করছে এর বদলা নিতে আমরা যুব্ধ চাই,1,0,Disagreement,আমরা যুদ্ধ চাই আমাদের দাবী একটাই কলকতা আমাদের জায়গা ভারত আমাদের শোসন করছে এর বদলা নিতে আমরা যুব্ধ চাই
হ ঠিক ঐ মিয়া তুমি আবার ঠিক সোদাও কেনো,1,0,Disagreement,হ ঠিক ঐ মিয়া তুমি আবার ঠিক সোদাও কেনো
কাউয়ার মুখে কমলা,1,0,Disagreement,কাউয়ার মুখে কমলা
নয়াদিগন্ত আছে শুধু পাক ভারত যদ্ধের খবর নিয়ে নিজ দেশের তলা যে খয়ে যকচ্ছে তার কোন খবর নাই  মনে হয় যুদ্ধ বাদাতে পারলেই তারা খুশি  ফাউল	Geopolitical,1,0,Disagreement,নয়াদিগন্ত আছে শুধু পাক ভারত যদ্ধের খবর নিয়ে নিজ দেশের তলা যে খয়ে যকচ্ছে তার কোন খবর নাই মনে হয় যুদ্ধ বাদাতে পারলেই তারা খুশি ফাউল Geopolitical
রামপাল বিদ্যুত কেন্দ্র ভারতের জনগন ই তাদের দেশে করতে দেয় নি পরে বাংলাদেশে করা হচ্ছে	Geopolitical,1,0,Disagreement,রামপাল বিদ্যুত কেন্দ্র ভারতের জনগন ই তাদের দেশে করতে দেয় নি পরে বাংলাদেশে করা হচ্ছে Geopolitical
মকবুল কেন এই যাবৎ যত জামায়াত নেতার ফাসি হয়েছে তারা কেউ রাজাকার বা কোন অপরাধি ছিলনা দোষ একটাই কোরআনের শাসন কায়েমের কাজ করছিল ইতিহাসে এরা কিনতু অমর অমলান	Personal,1,0,Disagreement,মকবুল কেন এই যাবৎ যত জামায়াত নেতার ফাসি হয়েছে তারা কেউ রাজাকার বা কোন অপরাধি ছিলনা দোষ একটাই কোরআনের শাসন কায়েমের কাজ করছিল ইতিহাসে এরা কিনতু অমর অমলান Personal
মাতা টিক আছে তো তোমার,1,0,Disagreement,মাতা টিক আছে তো তোমার
আমগোডা রে কবে ধরা হবে,1,0,Disagreement,আমগোডা রে কবে ধরা হবে
আর শেখ হাসিনা আছে বলেই বাংলাদেশ হয়েছে ভারত 	Geopolitical,1,0,Disagreement,আর শেখ হাসিনা আছে বলেই বাংলাদেশ হয়েছে ভারত Geopolitical
নিজের অভ্যন্তরীণ মুক্তিযোদ্ধারা মানবেতর জীবন যাপন করতেছে পরের ঘরে অালো দেওয়া মানে হয়না।কৃতজ্ঞতার নামে একদিন বাংলাদেশেটা ভারতে কাছে দিয়ে দিবেন মনেহয়।,1,0,Disagreement,নিজের অভ্যন্তরীণ মুক্তিযোদ্ধারা মানবেতর জীবন যাপন করতেছে পরের ঘরে অালো দেওয়া মানে হয়না।কৃতজ্ঞতার নামে একদিন বাংলাদেশেটা ভারতে কাছে দিয়ে দিবেন মনেহয়।
এরা কি অনিয়মিত গাঞ্জা খায়!!,1,0,Disagreement,এরা কি অনিয়মিত গাঞ্জা খায়!!
"শিক্ষার্থীরা ভাবমূর্তি নষ্ট করেছে ?  বউ , বউমা, জামাই, শ্যালক, মেয়ে সবাইকে চাকরি দিবেন ( দুর্নীতি করে) আপনারা ( বিশ্ববিদ্যালয় ভিসি গণ) আর আমাদের স্ট্যাটাস এ দেশ এর ভাবমূর্তি নষ্ট",1,0,Disagreement,"শিক্ষার্থীরা ভাবমূর্তি নষ্ট করেছে ? বউ , বউমা, জামাই, শ্যালক, মেয়ে সবাইকে চাকরি দিবেন ( দুর্নীতি করে) আপনারা ( বিশ্ববিদ্যালয় ভিসি গণ) আর আমাদের স্ট্যাটাস এ দেশ এর ভাবমূর্তি নষ্ট"
জালিমদের বিচার হোক,1,0,Disagreement,জালিমদের বিচার হোক
দুষ্ট দেবর,1,0,Disagreement,দুষ্ট দেবর
বাংলাদেশ সরকার কে এটা স্বরণ রাখা উচিত যে সালে স্বাধীনতা যুদ্ধের সময় পার্শ্ববর্তী দেশ ভারত হাজার হাজার বাঙালীকে আশ্রয় দিয়েছিল তাতে কি তাদের দেশের ব্যাপক ক্ষতি সাধন হয়েচিল  বাংলাদেশে হর্তাল অগ্নিকান্ড পুড়িয়ে দেশের কুটি কুটি টাকা নষ্ট করতে পারে তার চেয়ে কিছু রহিঙ্গাকে আশ্রয় দিলে কি খুব বেশি প্রভাব পড়বে  হলমার্ক শেয়ার মার্কেট থেকে যত টাকা লুট করা হয়েছে তার থেকে কি রহিঙ্গারা বেশি ভয়ানক  ভারতে ট্রেন দূর্ঘটনায় আমাদের মন কাঁদে সাহায্য দেয়া চলে আর মায়ানমারে মুসলিম নিধন চলছে কই এদেশ থেকে কোন হুঁশ	Geopolitical,1,0,Disagreement,বাংলাদেশ সরকার কে এটা স্বরণ রাখা উচিত যে সালে স্বাধীনতা যুদ্ধের সময় পার্শ্ববর্তী দেশ ভারত হাজার হাজার বাঙালীকে আশ্রয় দিয়েছিল তাতে কি তাদের দেশের ব্যাপক ক্ষতি সাধন হয়েচিল বাংলাদেশে হর্তাল অগ্নিকান্ড পুড়িয়ে দেশের কুটি কুটি টাকা নষ্ট করতে পারে তার চেয়ে কিছু রহিঙ্গাকে আশ্রয় দিলে কি খুব বেশি প্রভাব পড়বে হলমার্ক শেয়ার মার্কেট থেকে যত টাকা লুট করা হয়েছে তার থেকে কি রহিঙ্গারা বেশি ভয়ানক ভারতে ট্রেন দূর্ঘটনায় আমাদের মন কাঁদে সাহায্য দেয়া চলে আর মায়ানমারে মুসলিম নিধন চলছে কই এদেশ থেকে কোন হুঁশ Geopolitical
কেউ আমার মাথায় সাত কুপের পানি ঢাল,1,0,Disagreement,কেউ আমার মাথায় সাত কুপের পানি ঢাল
পাকিস্তান আমার বাবার শত্রু 	Geopolitical,1,0,Disagreement,পাকিস্তান আমার বাবার শত্রু Geopolitical
ভারতের সাহায্য নেওয়াটাই বাংলাদেশের ইতিহাসের সবচাইতে বড় ভুল ছিলো যার খেসারত বছর ধরে দিয়ে যাচ্ছে বাংলাদেশ  জানিনা এর শেষ কবে হবে	Geopolitical,1,0,Disagreement,ভারতের সাহায্য নেওয়াটাই বাংলাদেশের ইতিহাসের সবচাইতে বড় ভুল ছিলো যার খেসারত বছর ধরে দিয়ে যাচ্ছে বাংলাদেশ জানিনা এর শেষ কবে হবে Geopolitical
শেখ মুজিবের শাসনামলে রক্ষীবাহিনীর ভয়ে যুবতী মেয়েদেরকে লুকিয়ে রাখা হত আর এখন রাখতে হয় ছাত্রলীগ যুবলীগের ভয়ে,1,0,Disagreement,শেখ মুজিবের শাসনামলে রক্ষীবাহিনীর ভয়ে যুবতী মেয়েদেরকে লুকিয়ে রাখা হত আর এখন রাখতে হয় ছাত্রলীগ যুবলীগের ভয়ে
দের বাংলাদেশের মাটিতে স্বাধীনতা দিতে হবে,1,0,Disagreement,দের বাংলাদেশের মাটিতে স্বাধীনতা দিতে হবে
এই মেয়ে টাকে একটুও মায়া লাগেনা আর যে বাজে পোষাক পরেছে ছি ছি ছি,1,0,Disagreement,এই মেয়ে টাকে একটুও মায়া লাগেনা আর যে বাজে পোষাক পরেছে ছি ছি ছি
ভিখারী কে ভিখারী করে দিলে ঠিক হবে,1,0,Disagreement,ভিখারী কে ভিখারী করে দিলে ঠিক হবে
শালীর জন্য জামাইবাবুর মাথা খারাপ হয়ে গেছে,1,0,Disagreement,শালীর জন্য জামাইবাবুর মাথা খারাপ হয়ে গেছে
এই মেয়ে পাগল হয়ে গেছো,1,0,Disagreement,এই মেয়ে পাগল হয়ে গেছো
"১৪ জনের চুল কাটা হলো, একজন আত্ম হত্যার চেষ্টা করলো, টকশো হলো, ভার্সিটি বন্ধ হলো তবুও তার কিছু হলো না। আর যখনি শুনছে এটা মাদরাসা আর সাথে সাথেই অ্যাকশন!!!  বাহ! একটিভ প্রশাসন।।।",1,0,Disagreement,"১৪ জনের চুল কাটা হলো, একজন আত্ম হত্যার চেষ্টা করলো, টকশো হলো, ভার্সিটি বন্ধ হলো তবুও তার কিছু হলো না। আর যখনি শুনছে এটা মাদরাসা আর সাথে সাথেই অ্যাকশন!!! বাহ! একটিভ প্রশাসন।।।"
ভারত আর বাংলাদেশ মুসলিম এর পিছনে লেগেই আছে	Geopolitical,1,0,Disagreement,ভারত আর বাংলাদেশ মুসলিম এর পিছনে লেগেই আছে Geopolitical
ভারত ও পাকিস্তানের তথাকথিত যুদ্ধের এত অজানা অস্ত্রের কল্পকাহিনী ও খবরা খবর স্বয়ং ভারতীয় ও পাকিস্তানীরা জানে না যতটুকু জানে বাংলাদেশী কিছু ফেইসবুক ব্যবহারকারী ও পত্র পত্রিকার তথাকথিত সাংঘাতিকরা থুক্কু সংবাদিকরা যুদ্ধ মারামারি কিছুই তো হবেনা অহেতুক আমাদের ঘুম হারাম করে এই তথাকথিত সংবাদিকরা,1,0,Disagreement,ভারত ও পাকিস্তানের তথাকথিত যুদ্ধের এত অজানা অস্ত্রের কল্পকাহিনী ও খবরা খবর স্বয়ং ভারতীয় ও পাকিস্তানীরা জানে না যতটুকু জানে বাংলাদেশী কিছু ফেইসবুক ব্যবহারকারী ও পত্র পত্রিকার তথাকথিত সাংঘাতিকরা থুক্কু সংবাদিকরা যুদ্ধ মারামারি কিছুই তো হবেনা অহেতুক আমাদের ঘুম হারাম করে এই তথাকথিত সংবাদিকরা
হাগতে গিয়ে মুতে দিয়েছে পরিমণি.... সূত্রঃ প্রথম অালো।,1,0,Disagreement,হাগতে গিয়ে মুতে দিয়েছে পরিমণি.... সূত্রঃ প্রথম অালো।
এগুলো কিছু আবাল বুঝে না শুধু সামনে বসে চিল্লায়া বলে সব ঠিক,1,0,Disagreement,এগুলো কিছু আবাল বুঝে না শুধু সামনে বসে চিল্লায়া বলে সব ঠিক
