sentence,intensity_level,intensity_level_normalized,intensity_category
আমার মনে হয় আপনি দু লাইন বেশি বুঝেন চীন আছে বলেই পাকিস্তান আপনাদের বাঁশ দিতে পারে আর চীনের হাত যার মাথার উপর সে মাথা তুলে দাড়াচ্ছে আফ্রিকার অনেক দেশ চীনের কাছ থেকে সুবিধা নিচ্ছে পাকিস্তানের অস্ত্র চীনের দান অবশ্য এটা মানতে হবে যে ভারত আমাদের ভাল বন্ধু 	Geopolitical,1,0,Disagreement
"আর ইন্ডিয়ান টেলিভিশন তে যেসব বড়লোক  দেখায়, তারা দুই টাকার ফকির দুই লাখ পাইলে যেই অবস্থা হয় সেটা",1,0,Disagreement
গরু মারা আর মানুষ মারা কি সমান,1,0,Disagreement
সানি লিওনের বডিতে পাপিয়ার মাথা লাগাইয়া থাম্বনেল দিতেন। আরও বেশি ভিউ পাইতেন,1,0,Disagreement
হুম তুমি অনেক খারাপ আর খারাপ দেখেই তো তোমায় অনেক ভালো লাগে,1,0,Disagreement
"নাস্তিকদের কাছথেকে এরচেয়ে বেশি কিছু আসা করা অসম্ভ, আল্লাহ যেন এদের হেদায়েত করেন",1,0,Disagreement
"উনি এদেশের বাড়িওয়ালা, যাদের পিটানো হচ্ছে তারা এদেশের ভাড়াটিয়া। অদ্ভুত এবং অফুরন্ত ক্ষমতার অধিকারী ।রাষ্ট্র এই ক্ষমতা ওনাকে দিয়েছে যে তুমি সকল ভাড়াটিয়াদের লাঠিপেটা করো।",1,0,Disagreement
ইসলাম কখনই শান্তির ধর্ম ছিল না,1,0,Disagreement
মোদি যখন ভারতের প্রধান মন্তী হলেন তখন আপনারা খুশি হয়ে খ্মমতায় আসার সম্পন দেখেছিলেন তখন ভারত গন্দ করেনি 	Geopolitical,1,0,Disagreement
চুল মডেল এইটা। দেখলেই রাগ উঠে।,1,0,Disagreement
এ ধরনের একপেশে মন্তব্য করা মোটেই উচিত নয়,1,0,Disagreement
অভিযুক্ত কথা বলে মহান শিক্ষককে অপমানিত করা হল,1,0,Disagreement
তরা কি চুমা চুমি ছারা কিছু জানস না যৌবব সমাজ কে আপনারা নষ্ট করতেছেন আশা করি ভালো কিছু করে লাইভে ইউটুভে আসবেন ধন্যবাদ,1,0,Disagreement
এতদিন তেনারা কোথায় ছিলেন যখন মিনিটের নাটক মিনিটের বেশী সময় ধরে চালায় কিংবা হিন্দ কাটুন চালায় তখন কি নাকে তেল দিয়ে ঘূমিয়ে ছিলেন । মনে হয় তেনাদের কাছে বিদেশী সিরিয়াল কোন সমস্যা না টা মুসলিম না হয় ভারতীয় হলে এতো কিছু করতে হতো না,1,0,Disagreement
এতে মত প্রকাশ করতে পারছি নাহ কারনতারা এক দিকে কৃষকের ভাত মেরে দিচ্ছে অপরদিকে কৃষকরা না খেয়ে জীবনযাপন করছে সো এসব না দেখিয়ে কৃষকরা কিভাবে হাসি মুখে তারা তাদের পরিবার নিয়ে খেয়ে জীবনযাপন করতে পারে সে দিকে নজর দিন,1,0,Disagreement
ভাই তোমারে দেখতে গে গে লাগে কেন,1,0,Disagreement
ঐ ৫দিন আপনারা গুজব বেচবেন কার কাছে,1,0,Disagreement
আমাদের এন আর বি সুশীলরা কই এখন ফেসবুকে তাদের রাশব্দ নাই কেন আমাদের দেশে পান থেকে চুন খসলে উনারা সরব হয়ে যান,1,0,Disagreement
অপশক্তির দল তোমাদের গায়ে লাগে কেনএ দেশ ভাল না লাগলে চলে যাও,1,0,Disagreement
বিদেশী চেনেলে বাংলাদেশী এড বন্ধ করুন এবংসেই সাথে বিদেশী চেনেল গুলোও বন্ধ করলে দেশীয় চেনেলের মর্যাদা অনেক গুন বৃদ্ধি পাবে একটু দেখেন ভারতে বাংলাদেশের একটা চেনেলও চলেনা অথচ বাংলাদেশে ভারতের প্রায় চেনেলই চলে নিজের দেশের চেনেলের কোন খবর নাই অথচ বিদেশী চেনেলের আগ্রাসনে দেশ নষ্ট মানে মায়ের চেয়ে মাসির দরদ বেশি 	Geopolitical,1,0,Disagreement
মোদী কে আমাদের সমস্যা আমাদের মোকাবেলা করতে হবে,1,0,Disagreement
